text,label
This product is incredible! It works perfectly and I would recommend it to anyone.,0
"I bought this phone for my daughter and she said that she loves it. The phone arrived in what seemed to be perfect condition. The sim card slot is a regular size and not micro, which is exactly what I needed. Otherwise, I would have had to buy a micro sim kit. I am very happy with my purchase.",0
I love my phone! I have taken it all over the world and it has work in every country that I went to and the pictures it takes are WOW.,1
"The mobile is Ok but in the description said that it is able to work with 4G, that is wrong. I'll kindly suggest to delete this point form the page description",1
"
I had to return because it was not compatible with Tracfone. The phone was in great condition, but I had to unfortunately return it.",0
The box is very simple and the charger is not a cube like apple.,0
This device has issues with charging once the battery is completely drained.,0
"Positive: The wide array of apps. The speed. The sound. The camera.
Negative: The short life of the battery.",0
Good phone but when you call someone or get a call you can't talk in the phone. The person on the other line can't hear you.,1
"Exceeded my expectations. This is now my traveling phone, camera, and video recorder all wrapped up in one. Beautifully built quality product that is quietly elegant in appearance. The Windows Phone operating system works great with all of the Microsoft office tools. I am very happy with this purchase.",1
The phone is in great condition and it works perfectly fine,1
Defective product (camera not work)Disappointed not recommend,1
I bought this phone for my mom. She wanted a simple ring and answer phone. This did the trick. The buttons are big and very visible. I really like this phone.,0
"The screen had light coming through the blacked-out areas, and the volume buttons were not flush with the rest of the phone.",0
"This seller is a total rip-off. They sold me an old, re-built iPhone that was pieced together from different components. The serial number had been changed, so Apple wouldn't honor the warranty. I had to buy a new iPhone from them. Don't buy from Ross Cellular!",0
I have had this product for a while and have not had any issues. It functions as it should.,0
"If you have not enough time to charge your phone, this phone is the beast choice for you",1
" Out of the five unlocked phones that I purchased, only four of them were actually unlocked.",0
Awesome cell phone! Everything wroks perfect and its design is beautiful.,1
"Received today. Title says unlocked, tag on phone says Verizon, will update following visit to obtain proper SIM card.",1
I love my new phone and use it constantly! Thank you for the phone.,0
"Over all a great phone, camera is amazing! Too bad Microsoft had to mess with Nokia Maps . In walk mode, my old Pureview 808 had voice guidance, which is lacking. Also, we don't all want to store things up in cyber space, not able to sotre and transfer using my pc. Hopefully, Microsoft will take care of both these issues which are my main complaints.",1
I thought I was going to receive an UNLOCKED cell phone. It appears that it's not because I have been to 2 different phone stores and they can't get it working.,1
"I bought three of those iPhone as a gift. I know in the ads they said it is used.But they are in good quality, no cracks or any bad signs on any of them. The price was a bargain. I liked them so much that I placed another order for two more.Good communication with the seller too.ThanksOmaima",1
"El equipo llego bien, mas tuve que pagar una alta suma para que lo pudieran desbloquear. no vino desbloqueadode fabrica como decía el anuncio.",1
Positive items: the wide array of apps.; the speed; the sound; the cameraNegative: the short live of the battery,1
"This phone is just what I wanted. I ordered it and it took a while to get to me, but it was worth the wait.",0
Battery takes hours to charge. Expect it to malfunction. Phone may shutdown when reaching 25% battery life,1
"I had a Nokia 920 that was a ""rebuilt"" phone, and this phone replaced it. It's the best Nokia phone I've had so far.",0
"Best phone ever, good camera LTE with TMobile, responsive and perform really good. I totally recommend this seller.",1
"Hi there,I made a purchase of a 32GB iPhone 4 on February 15, 2014, and I was wondering if I'm already supposed to have received it by now. I haven't heard anything from the team yet and I'm getting impatient.",0
90 days isn't enough. It DIED and was a waste of money. VERY disappointed,1
